Job Title,Job Description,Models,Temperatures
IT Co-op Student,"Position: IT Co-op Student; Company: FlatironDragados; What You Will Be Doing

     Provide first-level IT support, including troubleshooting hardware and software issues, and supporting daily IT operations for all employees 
     Install and support PC hardware and software, ensuring that all systems are functioning optimally 
     Engage with end-users to collect requirements for feature enhancements aimed at optimizing system performance, improving processing speed, and enhancing overall user experience and interface usability 
     Conduct system tests, troubleshoot customer issues and help correct software defects 
     Create customer software manuals and project documentation Create user guides, training materials, and documentation for common IT issues 
     Continuously improve the knowledge base to empower employees to resolve basic issues independently 
     Manage hardware assets in the asset management system, keeping accurate records of all equipment 
     Identify areas for improvement in IT processes and systems 
     Stay updated on emerging technologies and suggest enhancements 
     Be proactive in preventing potential IT issues and optimizing existing workflows 
     Assist in creating reports, dashboards, and other visualizations to clearly articulate progress, statuses, and risks 
     Perform other duties as assigned 

What We Are Looking For

     Pursuing a diploma (preferred) or university degree in one of the following areas: Computer Networking, Computer Science, Management Information Systems, Software Engineering, or other related discipline 
     Project coordination or customer service experience will be considered a definite asset 
     Excellent interpersonal skills and ability to work well with all levels of internal management and staff, as well as outside clients and vendors 
     Flexibility 
     Excellent problem-solving and analytical skills for figuring out how different software components work together 
     Ability to easily work with abstract and highly technical concepts, as well as explain complex functionality to non-technical users and staff 
     Ability to prioritize issues ",llama3:8b,0.1
Backend Python Engineer,"Position: Backend Python Engineer; Company: EPAM Systems; We are seeking an experienced Backend Python Engineer to join our client's team working on their global Biologics Discovery Platform (BDP). This innovative platform aims to accelerate drug discovery in the biologics space, contributing to groundbreaking developments in pharmaceutical research.

Req#882435811

 

Responsibilities

    Design, code, test, debug and document Python applications
    Write clean, efficient, maintainable, and reusable code
    Build robust, scalable, and secure backend services and APIs
    Implement software improvements and suggest optimizations
    Troubleshoot and fix bugs in existing applications
    Integrate various data storage solutions and databases
    Develop and maintain RESTful or GraphQL APIs
    Implement automated testing and continuous integration processes
    Optimize application performance and improve code efficiency
    Deploy and maintain applications in development and production environments
    Implement security and data protection measures

 

Requirements

    Strong proficiency in Python backend development
    Experience with large data volume processing and management
    Willingness to learn and work with additional technologies (Java, ReactJS)
    Knowledge of API development, database management, and cloud infrastructure
    Experience with scientific or biotech applications is advantageous
    Bachelor's degree or higher in Computer Science, Engineering, or related field
    Demonstrated experience in backend development with Python
    Strong problem-solving skills and attention to detail
    Hybrid - onsite 2-3 days per week in Mississauga office
    Innovative mindset with ability to propose creative solutions
    Collaborative team player comfortable in cross-functional environments
    Adaptable to learning new technologies and methodologies
    Self-motivated with excellent communication skills
    Interested candidates should apply with their resume and a brief cover letter describing relevant experience with Python backend development and working with large datasets",llama3:8b,0.1
Junior Web Developer,"Position: Junior Web Developer; Company: Cheil Canada; Cheil Canada is a full-service agency based out of Mississauga, Ontario and part of the Cheil Worldwide network, offering a variety of marketing & advertising solutions. We are a full-service data-driven company, rooted firmly in customer experience and performance. We work across the entire customer journey, creating connections that result in relevant and meaningful personalization through:

     Data & Insight
     Retail Marketing & Shopper Marketing
     Digital and Social Marketing
     eCommerce & eRetailer Marketing

Job Summary

We are looking for a motivated and detail-oriented Junior Web Publisher to join our dynamic team. In this role, you will be responsible for publishing, updating, and maintaining content across our web platforms. The ideal candidate has a strong understanding of web publishing processes and front-end technologies, and experience working with content management systems (CMS). This is an excellent opportunity for someone with 1–3 years of experience looking to further develop their skills in a collaborative environment.

Key Responsibilities:

Publish, update, and maintain content across web platforms using a CMS.

Collaborate with designers, developers, and other teams to ensure content is displayed accurately and optimized for user experience.

Troubleshoot and resolve content-related issues on the website.

Ensure website consistency in terms of layout, style, and branding.

Test and validate content updates for various browsers and devices.

Adhere to SEO best practices when publishing content.

Assist in monitoring website performance and work on performance improvements.

Stay up to date with web publishing trends and emerging technologies.

Required Skills & Qualifications:

1–3 years of experience in web publishing, web content management, or a similar role.

Proficiency in HTML, CSS, and JavaScript.

Experience with content management systems (e.g., WordPress, Drupal, Joomla, or any proprietary CMS).

Strong attention to detail and the ability to manage multiple tasks and deadlines.

Basic understanding of SEO and web analytics tools (e.g., Google Analytics).

Good communication skills and a team player.

Eagerness to learn and adapt to new technologies.

Preferred Qualifications:

Familiarity with front-end frameworks like Bootstrap or similar.

Experience working with version control systems (e.g., Git).

Basic design skills or experience with graphic editing tools (e.g., Photoshop, Figma, etc.).",llama3:8b,0.1
Bilingual (English/French) .Net Developer,"Position: Bilingual (English/French) .Net Developer ; Company: Systematix; We are Systematix and we’re currently seeking an intermediate to senior level, Bilingual .Net/C# Developer for our client, a major Canadian media company – must be fluent in English and French! This role is mostly REMOTE, requiring only one day per week on-site in either downtown Toronto or Montreal.


Project description:

Our client’s Media and Special Events team is looking for an Application Developer to contribute to the development of a web application. The application is developed using the standard technology environment of the Application Solution Group (see Mandate Skills). More specifically, the application allows the Media Library and Archives teams to enrich MAM (Media Asset Management) data using other systems or other data sources available internally. We are looking for a full-stack candidate who is comfortable with the front-end and back-end portion.

 

Responsibilities related to the mandate:

The candidate will have to:

    Contribute as a member of multidisciplinary teams to the design of new systems, the modification of existing systems or the implementation of purchased or customized systems;
    Contribute to the delivery of new applications and the maintenance and enhancement of existing applications, and be the primary responsibility for technical matters;
    Analyze and revise, as appropriate, existing difficulties with the logic of the system.
    Code and test complex programs;
    Perform programming, development and maintenance tasks on existing or new applications;
    Ensure backup, version control and quality of source code;
    Provide constant support for applications to production, problem solving complex technical techniques and software modification support;
    Provides leadership, advice and training to less experienced employees; overseeing their work on system components;
    Understand and know client-server applications as well as web development, databases, tools, and infrastructure


Qualifications:

Candidate Profile:

    Language requirements: French mandatory, English an asset
    University degree or equivalent experience;
    Experience as a .Net developer;
    Mastery and recent experiences of these technologies:
    Angular 8+
    C#, .NET 8
    Typescript
    WebAPI/REST
    Must be aware of accessibility (HTML, Fonts, Screen readers, etc.).
    Proficiency in MSSQL databases,
    Knowledge of Mongo, an asset;
    Knowledge of one or more of these technologies: EntityFramework, LINQ;
    Knowledge of IMT or other source control system;
    Experience in an AGILE environment (scrum) an asset;
    Knowledge of Cloud, Azure or other environments an asset;
    Good general knowledge and high intellectual curiosity (acquire and develop new knowledge and skills);
    Critical thinking (question and propose new ideas);
    Strong interest in major trends and issues of the web;
    Rigour, autonomy and resourcefulness;
    Excellent stress and priority management.",llama3:8b,0.1
Junior Software Engineer,"Position: Junior Software Engineer ; Company: Achievers; The opportunity: 

A great opportunity for you to grow your skills with various tools and areas of the full software development lifecycle! Receive ongoing mentorship and coaching from experienced Engineers invested in your growth.

Build innovative product features and solutions that scale to millions of users. Help us continuously evolve the platform with modern, scalable, and focused enhancements that deliver a personalized and cohesive experience for end users.

This is a full-stack hybrid role with 2 days per week in our Liberty Village office downtown.

What you`ll be doing:

    Join a collaborative team of Engineers who shape the communication and content experience across our platform.
    Contribute to full-stack projects and use a variety of modern technologies: Python, Go, PHP, Kubernetes, Docker, Pub/Sub, GraphQL, microservices and more!
    Continuously integrate clean, scalable, robust, and testable code.
    Be hands-on with our codebase and deeply involved in code reviews - a great opportunity to receive regular feedback from experienced Engineers and to grow your skills!
    Contribute to design and architecture discussions led by Senior and Staff Engineers - you proactively identify and manage dependencies and share your ideas! 
    Stay up to date on emerging technologies and engineering guidelines, best practices, processes and tools.

What we`re looking for:

    Bachelor’s degree in Computer Science or related field. 
    Advanced/professional verbal and written English language skills.
    You want to be part of a collaborative team that supports each other and helps each other grow. 
    1-3 years of professional experience working on back-end or full-stack projects with languages such as Python, PHP, or GO. That can include internships or co-ops you completed during your studies. 
    You are proactive and take initiative to continuously grow and develop. 
    You communicate regularly with your team and stakeholders and proactively flag risks and challenges.
    You are open and excited to to learn new emerging technologies. 

",llama3:8b,0.1
Junior Data Engineer,"Position: Junior Data Engineer; Company: Mave; We’re building the next generation of our platform: AI agents with memory - smart, persistent, and built for the real world. That’s where you come in.


As a Jr. Data Engineer at Mave, you’ll play a key role in designing and maintaining the data pipelines that power our AI agents. You’ll work alongside senior engineers and product managers to collect, clean, and organize data that fuels our models, insights, and customer experiences. This is an exciting opportunity to grow your data engineering skills in a fast-paced AI startup environment.


About You

    1 - 2 years of experience in data engineering, analytics engineering, or a related field (or equivalent academic project experience).
    Proficient in Python (Pandas, NumPy, or similar libraries).
    Familiar with SQL and relational databases such as PostgreSQL or MySQL.
    Understanding of data pipelines, ETL/ELT workflows, and data modeling concepts.
    Exposure to cloud platforms (AWS, GCP, or Azure) and data storage tools like BigQuery or S3.
    Curious about AI technologies, LLMs, and how structured data supports intelligent systems.
    Comfortable working with APIs and integrating third-party data sources.
    Detail-oriented, collaborative, and eager to learn new tools and concepts quickly.
    Strong communicator who enjoys solving problems and improving processes.



Outcomes

    Support the design and development of reliable data pipelines to feed Mave’s AI models and analytics systems.
    Work closely with senior engineers to automate data collection, cleaning, and validation.
    Help monitor data quality and integrity across systems.
    Build and maintain internal dashboards and metrics to support product and business decisions.
    Contribute to improving documentation, reproducibility, and team data best practices.",llama3:8b,0.1
Data Engineer (Co-op),"Position: Data Engineer (Co-op); Company: League; Data Engineer

Launch Your Data Engineering Career! Join our team and gain hands-on experience in building and maintaining data pipelines. You'll learn the fundamentals of ETL processes, data warehousing, software development, working with large datasets, and AI systems. Participate in designing and implementing data solutions, contributing to data quality initiatives, and exploring cutting-edge data technologies. This co-op is your chance to build a strong foundation in a rapidly growing field.

Some Things The Data Team Works On

    Learning about real-time and batch pipelines with Python and SQL
    Software Development, Terraform Deployment for fault-tolerant, scalable systems
    Root cause analysis of production issues, performance tuning and optimization

Some of the technologies we use on the data engineering team include:

    GCP, python/SQL, Airflow, Terraform, Looker

Your Career Experience So Far May Include

    Exposure to data engineering projects and technologies
    Hands on software development 
    Previous engineering co-op experience

Security-related Responsibilities

    Compliance with Information Security Policies
    Compliance with League’s secure coding practice
    Responsibility and accountability for executing League's policies and procedures
    Notification of HR, Legal, Compliance & Security of any incidents, breaches or policy violations

",llama3:8b,0.1
Full Stack Developer,"Position: Full Stack Developer; Company: Magna International; Group Summary

The Magna Exteriors portfolio of products includes access systems such as liftgates, exterior trim, modular systems, front-end modules including fascia, active aerodynamic systems and other lightweight structural components for automotive, commercial truck and other industrial markets.

Recognized globally as an innovator in all aspects of vehicle exteriors, Magna provides everything needed, from materials development and design through manufacturing and assembly, to help automakers create sleek, state-of-the-art vehicles across the world.

Job Responsibilities

The Full Stack Developer at Co-Ex-Tec is responsible for designing, developing, and maintaining scalable web and executable applications and services. This role involves writing clean, efficient, and well-documented code, conducting code reviews, and ensuring software functionality and reliability through rigorous testing and debugging. The Software Engineer will collaborate closely with data scientists, engineers, and other stakeholders to understand requirements and deliver solutions that integrate seamlessly with existing technologies. Additionally, the role includes staying updated with the latest trends and technologies in Industry 4.0/5.0 and AI, identifying opportunities for process improvements, and providing technical support for deployed solutions

    Development & Implementation: Design, develop, and maintain scalable web and executable applications and services.

Write clean, efficient, and well-documented code using appropriate programming languages and frameworks.

Conduct code reviews to ensure code quality and adherence to best practices.

    Testing & Debugging: Develop and execute unit tests, integration tests, and system tests to ensure software functionality and reliability.

Identify and fix bugs and performance issues in the software.

    Collaboration: Work closely with data scientists, engineers, and other stakeholders to understand requirements and deliver solutions.

Collaborate with cross-functional teams to ensure seamless integration of new technologies.

    Innovation & Optimization: Stay updated with the latest trends and technologies in Industry 4.0/5.0, AI, and best practices in software development.

Identify opportunities for process improvements and automation within the manufacturing environment.

    Maintenance & Support: Ensure the reliability, performance, and security of developed applications.

Provide technical support and troubleshooting for deployed solutions.

Education & Professional Experience

    Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field.
    Education and Experience in Industry 4.0 Technologies, and software development.
    Strong understanding of manufacturing processes and the use of technology to optimize operations
    Hands-on experience with: Python, REST API, PyQt, Tkinter, C++, React, Node.js, Django/Flask
    Basics familiarity with basic AI technologies like CV, NLP, LLMs, and predictive analytics.
    Proficient in front-end frameworks (React, Angular, or Vue) and responsive UI design.
    Strong knowledge of back-end technologies (Node.js, Python, Java, or .NET) and API development.
    Databases (SQL, NoSQL) and data modeling.
    Familiarity with DevOps practices, containerization (Docker/Kubernetes), and cloud deployment.
    Strong problem-solving skills, debugging, and code optimization
    Strong English communications both verbal and written

",llama3:8b,0.1
Engineer,"Position: Engineer; Company: 7shifts; As the AI Solutions Architect at 7shifts, reporting to the Director of IT, you’ll guide leaders and individual contributors in understanding what’s possible with AI. You’ll help architect scalable solutions, adopt cutting-edge tools, and build the next generation of intelligent applications. At 7shifts, we view AI as a way to accelerate work and free up time for higher-value thinking, not as a replacement for people. We’re committed to using AI responsibly and ethically, ensuring that the tools we adopt make work easier, fairer, and more human. By blending technical expertise with a focus on solving real business challenges, you’ll empower teams to boost productivity, drive transformation, and become more comfortable with AI.


What you’ll do:

    Evaluate and prototype GCP tools like Agentspace ADK to identify the best fit for our needs
    Build and maintain internal AI tools and workflows, acting as the go-to contact for support requests
    Implement and manage an internal AI agent/workflow manager (e.g., Agentspace or similar), including access controls and change management
    Manage projects related to data sources and AI-powered tools, focusing first on internal productivity gains, with learnings later applied to customer-facing tools
    Lead technical discovery sessions with different departments to uncover high-impact AI use cases
    Translate complex technical strategies into plain language for non-technical stakeholders
    Partner with IT, Engineering, People, and leadership teams to roll out solutions that scale


What you bring:

    You’ve worked directly with AI or LLM technologies and are excited to help others understand and adopt them in practical, responsible ways
    You have a background in computer science, software engineering, or a related technical field, and have applied that knowledge to real-world problems
    You’ve deployed and maintained cloud-based applications or automations, with a focus on security, access, and collaboration
    You’re comfortable leading projects end-to-end, with a track record of documenting requirements, test plans, and deployments in a clear, structured way
    You know your way around APIs, connectors, and integration strategies, ideally with Google Cloud Platform or AWS
    You’ve worked with identity and access management protocols (OAuth, OIDC, SAML) and understand how to keep systems secure
    You’re an excellent communicator who can bridge technical and non-technical teams, making complex ideas easy to understand


It’d be even cooler if you had:

    Experience with Retrieval-Augmented Generation (RAG) pipelines
    Strong Python and SQL programming skills
    Experience with containerized workloads, CI/CD pipelines, and monitoring tools
    Experience managing Model Context Protocol (MCP) servers",llama3:8b,0.1
Associate Software Developer,"Position: Associate Software Developer; Company: Euna Solutions; Software Developers in Euna Procurement deliver effective and robust solutions to new and existing technical challenges in a timely manner. Software developers also contribute to their team’s success through the effective execution of engineering processes and best practices and continuously improving their own skillset.

Key Responsibilities

    Tackle real-world customer challenges and ship impactful solutions quickly, crafting front-end web apps or back-end services by working from detailed designs to implement rich user experiences. 
    Develop effective tests and metrics to ensure successful delivery and monitor and analyze the real-time performance of our platform. 
    Work with the product and support teams to understand our customers' needs and participate in solution development from vision through delivery. 
    Contribute to your team's success with thoughtful code reviews, thorough documentation, and open knowledge sharing. 
    Demonstrate the effective execution of SDLC best practices. 
    Apply and support security best practices. 

Essential Qualifications

    Bachelor's or Master's degree in Computer Science or a related field, or equivalent experience. 
    Minimum 1 years of experience in software development, with a proven track record of delivering robust software in JavaScript, TypeScript, C#, or a similar language. 
    Clear technical experience in one or more technologies in our tech stack: React, AngularJS, PHP, Typescript, Node.JS, Python, MySQL. 
    Familiarity with development collaboration tools such as JIRA and git, and development processes like scrum or Kanban. 
    Familiarity with web testing and accessibility tools (Jest, Mocha, Cypress, axe, etc) 
    Experience in a cloud environment, such as AWS. 
    Familiarity with SQL. 
    A passion for building beautiful and functional UIs and APIs. 

",llama3:8b,0.1
